country_region,province_state,latitude,longitude,date,confirmed_case
US,Iowa,42.0115,-93.2105,3/18/2020,29
US,Iowa,42.0115,-93.2105,3/17/2020,23
US,Iowa,42.0115,-93.2105,3/16/2020,23
US,Iowa,42.0115,-93.2105,3/15/2020,18
US,Iowa,42.0115,-93.2105,3/14/2020,17
US,Iowa,42.0115,-93.2105,3/13/2020,17
US,Iowa,42.0115,-93.2105,3/12/2020,16
US,Iowa,42.0115,-93.2105,3/11/2020,13
US,Iowa,42.0115,-93.2105,3/10/2020,8
US,Iowa,42.0115,-93.2105,3/9/2020,0
US,Iowa,42.0115,-93.2105,3/8/2020,0
US,Iowa,42.0115,-93.2105,3/7/2020,0
US,Iowa,42.0115,-93.2105,3/6/2020,0
US,Iowa,42.0115,-93.2105,3/5/2020,0
US,Iowa,42.0115,-93.2105,3/4/2020,0
US,Iowa,42.0115,-93.2105,3/3/2020,0
US,Iowa,42.0115,-93.2105,3/2/2020,0
US,Iowa,42.0115,-93.2105,3/1/2020,0
US,Iowa,42.0115,-93.2105,2/29/2020,0
US,Iowa,42.0115,-93.2105,2/28/2020,0
US,Iowa,42.0115,-93.2105,2/27/2020,0
US,Iowa,42.0115,-93.2105,2/26/2020,0
US,Iowa,42.0115,-93.2105,2/25/2020,0
US,Iowa,42.0115,-93.2105,2/24/2020,0
US,Iowa,42.0115,-93.2105,2/23/2020,0
US,Iowa,42.0115,-93.2105,2/22/2020,0
US,Iowa,42.0115,-93.2105,2/21/2020,0
US,Iowa,42.0115,-93.2105,2/20/2020,0
US,Iowa,42.0115,-93.2105,2/19/2020,0
US,Iowa,42.0115,-93.2105,2/18/2020,0
US,Iowa,42.0115,-93.2105,2/17/2020,0
US,Iowa,42.0115,-93.2105,2/16/2020,0
US,Iowa,42.0115,-93.2105,2/15/2020,0
US,Iowa,42.0115,-93.2105,2/14/2020,0
US,Iowa,42.0115,-93.2105,2/13/2020,0
US,Iowa,42.0115,-93.2105,2/12/2020,0
US,Iowa,42.0115,-93.2105,2/11/2020,0
US,Iowa,42.0115,-93.2105,2/10/2020,0
US,Iowa,42.0115,-93.2105,2/9/2020,0
US,Iowa,42.0115,-93.2105,2/8/2020,0
US,Iowa,42.0115,-93.2105,2/7/2020,0
US,Iowa,42.0115,-93.2105,2/6/2020,0
US,Iowa,42.0115,-93.2105,2/5/2020,0
US,Iowa,42.0115,-93.2105,2/4/2020,0
US,Iowa,42.0115,-93.2105,2/3/2020,0
US,Iowa,42.0115,-93.2105,2/2/2020,0
US,Iowa,42.0115,-93.2105,2/1/2020,0
US,Iowa,42.0115,-93.2105,1/31/2020,0
US,Iowa,42.0115,-93.2105,1/30/2020,0
US,Iowa,42.0115,-93.2105,1/29/2020,0
US,Iowa,42.0115,-93.2105,1/28/2020,0
US,Iowa,42.0115,-93.2105,1/27/2020,0
US,Iowa,42.0115,-93.2105,1/26/2020,0
US,Iowa,42.0115,-93.2105,1/25/2020,0
US,Iowa,42.0115,-93.2105,1/24/2020,0
US,Iowa,42.0115,-93.2105,1/23/2020,0
US,Iowa,42.0115,-93.2105,1/22/2020,0
US,"Island, WA",48.1976,-122.5795,3/20/2020,0
US,"Island, WA",48.1976,-122.5795,3/19/2020,0
US,"Island, WA",48.1976,-122.5795,3/18/2020,0
US,"Island, WA",48.1976,-122.5795,3/17/2020,0
US,"Island, WA",48.1976,-122.5795,3/16/2020,0
US,"Island, WA",48.1976,-122.5795,3/15/2020,0
US,"Island, WA",48.1976,-122.5795,3/14/2020,0
US,"Island, WA",48.1976,-122.5795,3/13/2020,0
US,"Island, WA",48.1976,-122.5795,3/12/2020,0
US,"Island, WA",48.1976,-122.5795,3/11/2020,0
US,"Island, WA",48.1976,-122.5795,3/10/2020,0
US,"Island, WA",48.1976,-122.5795,3/9/2020,0
US,"Island, WA",48.1976,-122.5795,3/8/2020,0
US,"Island, WA",48.1976,-122.5795,3/7/2020,0
US,"Island, WA",48.1976,-122.5795,3/6/2020,0
US,"Island, WA",48.1976,-122.5795,3/5/2020,0
US,"Island, WA",48.1976,-122.5795,3/4/2020,0
US,"Island, WA",48.1976,-122.5795,3/3/2020,0
US,"Island, WA",48.1976,-122.5795,3/2/2020,0
US,"Island, WA",48.1976,-122.5795,3/1/2020,0
US,"Island, WA",48.1976,-122.5795,2/29/2020,0
US,"Island, WA",48.1976,-122.5795,2/28/2020,0
US,"Island, WA",48.1976,-122.5795,2/27/2020,0
US,"Island, WA",48.1976,-122.5795,2/26/2020,0
US,"Island, WA",48.1976,-122.5795,2/25/2020,0
US,"Island, WA",48.1976,-122.5795,2/24/2020,0
US,"Island, WA",48.1976,-122.5795,2/23/2020,0
US,"Island, WA",48.1976,-122.5795,2/22/2020,0
US,"Island, WA",48.1976,-122.5795,2/21/2020,0
US,"Island, WA",48.1976,-122.5795,2/20/2020,0
US,"Island, WA",48.1976,-122.5795,2/19/2020,0
US,"Island, WA",48.1976,-122.5795,2/18/2020,0
US,"Island, WA",48.1976,-122.5795,2/17/2020,0
US,"Island, WA",48.1976,-122.5795,2/16/2020,0
US,"Island, WA",48.1976,-122.5795,2/15/2020,0
US,"Island, WA",48.1976,-122.5795,2/14/2020,0
US,"Island, WA",48.1976,-122.5795,2/13/2020,0
US,"Island, WA",48.1976,-122.5795,2/12/2020,0
US,"Island, WA",48.1976,-122.5795,2/11/2020,0
US,"Island, WA",48.1976,-122.5795,2/10/2020,0
US,"Island, WA",48.1976,-122.5795,2/9/2020,0
US,"Island, WA",48.1976,-122.5795,2/8/2020,0
